OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;;
;;;Rovaniemi;2890;19610224;1961;2;24;3485000;7365000;-2.2;3.2;-6.7;0;2527;5.36;;
;;;Rovaniemi;2890;19610225;1961;2;25;3485000;7365000;-3.5;-1.3;-9.2;1;1314;4.63;;
;;;Rovaniemi;2890;19610226;1961;2;26;3485000;7365000;-0.7;0.1;-2.8;0;1597;5.47;;
;;;Rovaniemi;2890;19610227;1961;2;27;3485000;7365000;0.1;0.9;-1.1;2;1376;5.87;;
;;;Rovaniemi;2890;19610228;1961;2;28;3485000;7365000;0.4;1;-0.1;0;1815;5.92;;
;;;Rovaniemi;2890;19610301;1961;3;1;3485000;7365000;0.6;1.7;-0.5;0;1663;5.9;;
;;;Rovaniemi;2890;19610302;1961;3;2;3485000;7365000;-1.1;0.8;-3.2;0;1911;5.18;;
;;;Rovaniemi;2890;19610303;1961;3;3;3485000;7365000;-1.7;-0.5;-3;0;1801;5.04;;
;;;Rovaniemi;2890;19610304;1961;3;4;3485000;7365000;0.4;1.9;-1.6;0;2039;5.46;;
;;;Rovaniemi;2890;19610305;1961;3;5;3485000;7365000;-2.5;1.7;-8.5;1;4243;4.34;;
;;;Rovaniemi;2890;19610306;1961;3;6;3485000;7365000;-1.8;1.9;-6.2;0;3637;4.08;;
;;;Rovaniemi;2890;19610307;1961;3;7;3485000;7365000;-5.4;-0.9;-11.5;0;4242;2.94;;
;;;Rovaniemi;2890;19610308;1961;3;8;3485000;7365000;-6;-3.3;-10;1;3563;2.9;;
;;;Rovaniemi;2890;19610309;1961;3;9;3485000;7365000;-3.2;0;-7.2;3;3776;4.68;;
;;;Rovaniemi;2890;19610310;1961;3;10;3485000;7365000;-0.1;3.2;-5.3;0;4030;5.2;;
;;;Rovaniemi;2890;19610311;1961;3;11;3485000;7365000;0.9;3.4;-1;3;2607;5.6;;
;;;Rovaniemi;2890;19610312;1961;3;12;3485000;7365000;-2.7;2.2;-7.2;0;6560;3.62;;
;;;Rovaniemi;2890;19610313;1961;3;13;3485000;7365000;-4.7;0.8;-13.4;0;5089;3.58;;
;;;Rovaniemi;2890;19610314;1961;3;14;3485000;7365000;-7.8;-1;-12.7;0;5586;2.82;;
;;;Rovaniemi;2890;19610315;1961;3;15;3485000;7365000;-6.2;-1.3;-11.7;0;4050;3.44;;
;;;Rovaniemi;2890;19610316;1961;3;16;3485000;7365000;-6.5;-2.4;-12.2;0;5187;3.22;;
;;;Rovaniemi;2890;19610317;1961;3;17;3485000;7365000;-9.1;-3.8;-17;2;5203;2.97;;
;;;Rovaniemi;2890;19610318;1961;3;18;3485000;7365000;-8.7;-4.5;-13.6;0;6122;2.57;;
;;;Rovaniemi;2890;19610319;1961;3;19;3485000;7365000;-10.5;-5.5;-15.9;0;8883;2.03;;
;;;Rovaniemi;2890;19610320;1961;3;20;3485000;7365000;-10.4;-4.9;-19;0;7018;2.19;;
;;;Rovaniemi;2890;19610321;1961;3;21;3485000;7365000;-9.6;-4;-16.2;0;8648;2.19;;
;;;Rovaniemi;2890;19610322;1961;3;22;3485000;7365000;-9.3;-2.7;-22.2;1;6441;2.66;;
;;;Rovaniemi;2890;19610323;1961;3;23;3485000;7365000;-3.4;0.7;-5.9;1;4491;3.88;;
;;;Rovaniemi;2890;19610324;1961;3;24;3485000;7365000;-7.9;-2.3;-18.9;0;6883;2.91;;
;;;Rovaniemi;2890;19610325;1961;3;25;3485000;7365000;-4.8;-0.1;-9.2;0;8145;3.21;;
;;;Rovaniemi;2890;19610326;1961;3;26;3485000;7365000;-7.3;-3.6;-16.4;4;3593;3.29;;
;;;Rovaniemi;2890;19610327;1961;3;27;3485000;7365000;-4.7;-3;-7;2;3633;3.86;;
;;;Rovaniemi;2890;19610328;1961;3;28;3485000;7365000;-5;-1.3;-9.7;0;8136;3.33;;
;;;Rovaniemi;2890;19610329;1961;3;29;3485000;7365000;-10.1;0.2;-23;0;10163;2.33;;
;;;Rovaniemi;2890;19610330;1961;3;30;3485000;7365000;-6.9;-1.5;-12.6;0;10907;2.45;;
;;;Rovaniemi;2890;19610331;1961;3;31;3485000;7365000;-7.2;-3.2;-14.2;0;7000;2.85;;
;;;Rovaniemi;2890;19610401;1961;4;1;3485000;7365000;-4.7;-1.7;-8.4;1;5517;3.78;;
;;;Rovaniemi;2890;19610402;1961;4;2;3485000;7365000;-4.8;-0.5;-10.7;0;9143;3.36;;
;;;Rovaniemi;2890;19610403;1961;4;3;3485000;7365000;-5.4;-0.4;-9.4;0;10693;2.9;;
;;;Rovaniemi;2890;19610404;1961;4;4;3485000;7365000;-8.2;0.3;-18.9;0;11809;2.84;;
;;;Rovaniemi;2890;19610405;1961;4;5;3485000;7365000;-8.3;-0.8;-14.6;0;10009;2.97;;
;;;Rovaniemi;2890;19610406;1961;4;6;3485000;7365000;-7.3;0.3;-16.3;0;7798;3.31;;
;;;Rovaniemi;2890;19610407;1961;4;7;3485000;7365000;-6.8;2.1;-18.2;0;12251;3.39;;
;;;Rovaniemi;2890;19610408;1961;4;8;3485000;7365000;-5.1;0.8;-12;1;7345;3.72;;
;;;Rovaniemi;2890;19610409;1961;4;9;3485000;7365000;-5;0;-11.2;0;11117;3.31;;
;;;Rovaniemi;2890;19610410;1961;4;10;3485000;7365000;-6.4;-1.9;-12.2;0;13385;2.6;;
