OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;;;
;;;Mänttä-Vilppula;1069;19610220;1961;2;20;3365000;6885000;-0.2;3.3;-4.4;0;1754;5.66;;;
;;;Mänttä-Vilppula;1069;19610221;1961;2;21;3365000;6885000;1.6;5.9;-3.3;0;4050;5.36;;;
;;;Mänttä-Vilppula;1069;19610222;1961;2;22;3365000;6885000;0.9;4.4;-2.6;0;3969;4.98;;;
;;;Mänttä-Vilppula;1069;19610223;1961;2;23;3365000;6885000;-0.8;4.9;-2.5;0;4562;5.15;;;
;;;Mänttä-Vilppula;1069;19610224;1961;2;24;3365000;6885000;-1.4;4.2;-8.6;0;4440;4.69;;;
;;;Mänttä-Vilppula;1069;19610225;1961;2;25;3365000;6885000;-1;-0.3;-4.7;0;2049;5.41;;;
;;;Mänttä-Vilppula;1069;19610226;1961;2;26;3365000;6885000;0.4;2;-1;0;2834;5.53;;;
;;;Mänttä-Vilppula;1069;19610227;1961;2;27;3365000;6885000;1.3;2.3;-0.5;4;2212;6.54;;;
;;;Mänttä-Vilppula;1069;19610228;1961;2;28;3365000;6885000;1.6;4.7;0.3;0;4983;5.78;;;
;;;Mänttä-Vilppula;1069;19610301;1961;3;1;3365000;6885000;-1.2;1.4;-5.4;0;3988;5.37;;;
;;;Mänttä-Vilppula;1069;19610302;1961;3;2;3365000;6885000;0.6;1.4;-0.4;0;2469;5.65;;;
;;;Mänttä-Vilppula;1069;19610303;1961;3;3;3365000;6885000;-0.3;0.8;-2.3;0;2443;5.57;;;
;;;Mänttä-Vilppula;1069;19610304;1961;3;4;3365000;6885000;1.5;3.1;0;0;2549;6.05;;;
;;;Mänttä-Vilppula;1069;19610305;1961;3;5;3365000;6885000;2.1;3.9;0.5;0;5124;5.34;;;
;;;Mänttä-Vilppula;1069;19610306;1961;3;6;3365000;6885000;5;8.2;1.3;0;4949;6.35;;;
;;;Mänttä-Vilppula;1069;19610307;1961;3;7;3365000;6885000;2;5.2;-1;0;5048;4.66;;;
;;;Mänttä-Vilppula;1069;19610308;1961;3;8;3365000;6885000;-3;-0.5;-7.1;2;4932;3.95;;;
;;;Mänttä-Vilppula;1069;19610309;1961;3;9;3365000;6885000;2.6;5.4;-2;0;4798;6.31;;;
;;;Mänttä-Vilppula;1069;19610310;1961;3;10;3365000;6885000;5.4;10.6;2;0;5649;6.54;;;
;;;Mänttä-Vilppula;1069;19610311;1961;3;11;3365000;6885000;2.5;5.7;0.7;0;3296;5.44;;;
;;;Mänttä-Vilppula;1069;19610312;1961;3;12;3365000;6885000;1.5;4.2;-0.9;0;5780;4.85;;;
;;;Mänttä-Vilppula;1069;19610313;1961;3;13;3365000;6885000;-0.2;2.2;-3;0;5731;4.36;;;
;;;Mänttä-Vilppula;1069;19610314;1961;3;14;3365000;6885000;-1.9;1.5;-6.1;3;6057;3.73;;;
;;;Mänttä-Vilppula;1069;19610315;1961;3;15;3365000;6885000;-0.5;0.7;-1.8;0;3717;4.52;;;
;;;Mänttä-Vilppula;1069;19610316;1961;3;16;3365000;6885000;-3.5;0.8;-8.8;0;8591;3.13;;;
;;;Mänttä-Vilppula;1069;19610317;1961;3;17;3365000;6885000;-3.4;0.2;-9;1;4051;4.48;;;
;;;Mänttä-Vilppula;1069;19610318;1961;3;18;3365000;6885000;-3.3;0.2;-5.8;10;2716;4.4;;;
;;;Mänttä-Vilppula;1069;19610319;1961;3;19;3365000;6885000;-6.7;-3.4;-9.3;0;8899;2.46;;;
;;;Mänttä-Vilppula;1069;19610320;1961;3;20;3365000;6885000;-9.3;-2.7;-15.9;0;8734;2.43;;;
;;;Mänttä-Vilppula;1069;19610321;1961;3;21;3365000;6885000;-10.2;-0.6;-20.7;0;11192;2.11;;;
;;;Mänttä-Vilppula;1069;19610322;1961;3;22;3365000;6885000;-8;0.6;-18.6;3;10879;2.4;;;
;;;Mänttä-Vilppula;1069;19610323;1961;3;23;3365000;6885000;0.7;4.7;-5;0;7088;5.13;;;
;;;Mänttä-Vilppula;1069;19610324;1961;3;24;3365000;6885000;-0.6;2.2;-3.4;0;9167;4.07;;;
;;;Mänttä-Vilppula;1069;19610325;1961;3;25;3365000;6885000;-1.5;1.6;-4.6;1;10374;3.43;;;
;;;Mänttä-Vilppula;1069;19610326;1961;3;26;3365000;6885000;0.7;4;-4.2;0;3811;5.8;;;
;;;Mänttä-Vilppula;1069;19610327;1961;3;27;3365000;6885000;0.5;2.8;-2.4;1;6009;4.65;;;
;;;Mänttä-Vilppula;1069;19610328;1961;3;28;3365000;6885000;-2.3;0.4;-5.8;0;7064;3.89;;;
;;;Mänttä-Vilppula;1069;19610329;1961;3;29;3365000;6885000;-5.2;2.5;-14.6;0;10737;3.1;;;
;;;Mänttä-Vilppula;1069;19610330;1961;3;30;3365000;6885000;-4;-0.6;-10.7;3;8031;3.88;;;
;;;Mänttä-Vilppula;1069;19610331;1961;3;31;3365000;6885000;-3.2;-0.5;-5.5;0;9057;3.17;;;
;;;Mänttä-Vilppula;1069;19610401;1961;4;1;3365000;6885000;-5.7;2.3;-14.8;1;10182;3.14;;;
;;;Mänttä-Vilppula;1069;19610402;1961;4;2;3365000;6885000;-6.6;3.9;-18.7;0;12676;2.99;;;
;;;Mänttä-Vilppula;1069;19610403;1961;4;3;3365000;6885000;-2.2;3.6;-6.3;0;10421;3.39;;;
;;;Mänttä-Vilppula;1069;19610404;1961;4;4;3365000;6885000;-4;3.2;-12;0;11697;3.61;;;
;;;Mänttä-Vilppula;1069;19610405;1961;4;5;3365000;6885000;-4;4.5;-12.6;0;14135;3.56;;;
;;;Mänttä-Vilppula;1069;19610406;1961;4;6;3365000;6885000;-1;2.7;-6.1;0;5821;4.73;;;
;;;Mänttä-Vilppula;1069;19610407;1961;4;7;3365000;6885000;-0.6;2.4;-4;2;6151;5.43;;;
;;;Mänttä-Vilppula;1069;19610408;1961;4;8;3365000;6885000;-0.7;3.6;-3.3;1;9670;4.6;;;
;;;Mänttä-Vilppula;1069;19610409;1961;4;9;3365000;6885000;-1.7;1.9;-6.6;0;12552;3.74;;;
;;;Mänttä-Vilppula;1069;19610410;1961;4;10;3365000;6885000;-2.7;1.8;-7.5;0;12694;3.36;;;
;;;Mänttä-Vilppula;1069;19610411;1961;4;11;3365000;6885000;-5.7;0.3;-15.2;0;13699;2.89;;;
;;;Mänttä-Vilppula;1069;19610412;1961;4;12;3365000;6885000;-4.6;2.6;-15.5;1;16183;3.13;;;
;;;Mänttä-Vilppula;1069;19610413;1961;4;13;3365000;6885000;-0.6;4.1;-4.1;1;15354;4.06;;;
;;;Mänttä-Vilppula;1069;19610414;1961;4;14;3365000;6885000;-0.1;1.7;-2.6;1;4468;5.68;;;
;;;Mänttä-Vilppula;1069;19610415;1961;4;15;3365000;6885000;3.8;6.6;1.5;3;2614;7.9;;;
